Filename	URN	Suggested Full URN	Title	Author	Editor	Publisher	Publication Year
tlg4031.tlg002.xml	tlg4031.tlg002	urn:cts:greekLit:tlg4031.tlg002.opp-grc1	In Aristotelis Ethica Nicomachea I Commentaria	Eustratius	Gustavus Heylbut	Typis Et Impensis Georgii Beimeri	MDCCCLXXXXII
tlg4033.tlg003.xml	tlg4033.tlg003	urn:cts:greekLit:tlg4033.tlg003.opp-grc1	In Ethica Nicomachea Paraphrasis (Pseudepigraphum Olim A	Anonymi In Aristotelis Ethica Nicomachea	Gustavus Heylbut	Berolini: Typis Et Impensis G. Reimeri	1889
tlg4034.tlg002.opp-grc1.xml	tlg4034.tlg002.opp-grc1	urn:cts:greekLit:tlg4034.tlg002.opp-grc1	In Parva Naturalia Commentaria	Michael	Paulus Wendland	Berolini: Typis Et Impensis G. Reimeri	1903
tlg4034.tlg002.opp.grc1.xml	tlg4034.tlg002.opp.grc1	urn:cts:greekLit:tlg4034.tlg002.opp-grc1	In Parva Naturalia Commentaria	Michael	Paulus Wendland	Berolini: Typis Et Impensis G. Reimeri	1903
tlg4034.tlg003.xml	tlg4034.tlg003	urn:cts:greekLit:tlg4034.tlg003.opp-grc2	In Libros De Partibus Animalium Commentaria	Michael	Paulus Wendland	Berolini: Typis Et Impensis G. Reimeri	1903
tlg4034.tlg003.opp.grc1.xml	tlg4034.tlg003.opp.grc1	urn:cts:greekLit:tlg4034.tlg003.opp-grc1	In Libros De Partibus Animalium Commentaria	Michael	Paulus Wendland	Berolini: Typis Et Impensis G. Reimeri	1903
tlg4034.tlg006.xml	tlg4034.tlg006	urn:cts:greekLit:tlg4034.tlg006.opp-grc2	In Librum Quintum Ethicorum Nicomacheorum Commentarium	Michael	Paulus Wendland	Berolini: Typis Et Impensis G. Reimeri	1903
tlg4034.tlg006.opp.grc1.xml	tlg4034.tlg006.opp.grc1	urn:cts:greekLit:tlg4034.tlg006.opp-grc1	In Librum Quintum Ethicorum Nicomacheorum Commentarium	Michael	Paulus Wendland	Berolini: Typis Et Impensis G. Reimeri	1903
tlg4036.tlg001.opp-grc1.xml	tlg4036.tlg001.opp-grc1	urn:cts:greekLit:tlg4036.tlg001.opp-grc1	In Platonis Rem Publicam Commentarii	Proclus	Gvilelmvs Kroll	In Aedibvs B. G. Tevbneri	MDCCCXCIX
tlg4089.tlg003.xml	tlg4089.tlg003	urn:cts:greekLit:tlg4089.tlg003.opp-grc1	Historia Ecclesiastica	Theodoretus	Dr. Léon Parmentier	J.C. Hinrichs'Sche Buchhandlung	1911
