URN	(Suggested) Full_URN	Title	Author	Editor	Publisher	Publication Year
tlg2200.tlg00403		Orationes I-V	Libanius	Richardus Foerster	In Aedibus B.G. Teubneri	1903
tlg2200.tlg00404		Orationes I-V	Libanius	Richardus Foerster	In Aedibus B.G. Teubneri	1903
tlg2200.tlg00405		Orationes I-V	Libanius	Richardus Foerster	In Aedibus B.G. Teubneri	1903
tlg2200.tlg00406		Orationes I-V	Libanius	Richardus Foerster	In Aedibus B.G. Teubneri	1903
tlg2200.tlg00407		Orationes I-V	Libanius	Richardus Foerster	In Aedibus B.G. Teubneri	1903
tlg2200.tlg00408		Orationes I-V	Libanius	Richardus Foerster	In Aedibus B.G. Teubneri	1903
tlg2200.tlg00409		Orationes I-V	Libanius	Richardus Foerster	In Aedibus B.G. Teubneri	1903
tlg2200.tlg00410		Orationes I-V	Libanius	Richardus Foerster	In Aedibus B.G. Teubneri	1903
tlg2200.tlg00411		Orationes I-V	Libanius	Richardus Foerster	In Aedibus B.G. Teubneri	1903
tlg2200.tlg00426		Orationes XXVI-L	Libanius	Richardus Foerster	In Aedibus B.G. Teubneri	1906
tlg2200.tlg00427		Orationes XXVI-L	Libanius	Richardus Foerster	In Aedibus B.G. Teubneri	1906
tlg2200.tlg00428		Orationes XXVI-L	Libanius	Richardus Foerster	In Aedibus B.G. Teubneri	1906
tlg2200.tlg00429		Orationes XXVI-L	Libanius	Richardus Foerster	In Aedibus B.G. Teubneri	1906
tlg2200.tlg00430		Orationes XXVI-L	Libanius	Richardus Foerster	In Aedibus B.G. Teubneri	1906
tlg2200.tlg00431		Orationes XXVI-L	Libanius	Richardus Foerster	In Aedibus B.G. Teubneri	1906
tlg2200.tlg00432		Orationes XXVI-L	Libanius	Richardus Foerster	In Aedibus B.G. Teubneri	1906
tlg2200.tlg00433		Orationes XXVI-L	Libanius	Richardus Foerster	In Aedibus B.G. Teubneri	1906
tlg2200.tlg00434		Orationes XXVI-L	Libanius	Richardus Foerster	In Aedibus B.G. Teubneri	1906
tlg2200.tlg00435		Orationes XXVI-L	Libanius	Richardus Foerster	In Aedibus B.G. Teubneri	1906
tlg2200.tlg00436		Orationes XXVI-L	Libanius	Richardus Foerster	In Aedibus B.G. Teubneri	1906
