URN	Title	Author	Editor	Publisher	Publication Year
urn:cts:greekLit:tlg0018.tlg016.opp-grc1	Philonis Alexandrini Opera Qvae Svrersvnt	Leopoldvs Cohn	Leopoldvs Cohn	Typis Et Impensis Georgii Reimeri	XDCCCLXXXXI
urn:cts:greekLit:tlg0018.tlg017.opp-grc1	Philonis Alexandrini Opera Qvae Svrersvnt	Leopoldvs Cohn	Leopoldvs Cohn	Typis Et Impensis Georgii Reimeri	XDCCCLXXXXI
urn:cts:greekLit:tlg0018.tlg018.opp-grc1	Philonis Alexandrini Opera Qvae Svrersvnt	Leopoldvs Cohn	Leopoldvs Cohn	Typis Et Impensis Georgii Reimeri	XDCCCLXXXXI
urn:cts:greekLit:tlg0018.tlg019.opp-grc1	Philonis Alexandrini Opera Qvae Svrersvnt	Leopoldvs Cohn	Leopoldvs Cohn	Typis Et Impensis Georgii Reimeri	XDCCCLXXXXI
urn:cts:greekLit:tlg0018.tlg020.opp-grc1	Philonis Alexandrini Opera Qvae Svpersvnt	Leopoldvs Cohn Et Pavlvs Wendland	Leopoldvs Cohn Et Pavlvs Wendland	Typis Et Impensis Georgii Reimeri	MCMII
urn:cts:greekLit:tlg0018.tlg021.opp-grc1	Philonis Alexandrini Opera Qvae Svpersvnt	Leopoldvs Cohn Et Pavlvs Wendland	Leopoldvs Cohn Et Pavlvs Wendland	Typis Et Impensis Georgii Reimeri	MCMII
urn:cts:greekLit:tlg0018.tlg022.opp-grc1	Philonis Alexandrini Opera Qvae Svpersvnt	Leopoldvs Cohn Et Pavlvs Wendland	Leopoldvs Cohn Et Pavlvs Wendland	Typis Et Impensis Georgii Reimeri	MCMII
urn:cts:greekLit:tlg0018.tlg023.opp-grc1	Philonis Alexandrini Opera Qvae Svpersvnt	Leopoldvs Cohn Et Pavlvs Wendland	Leopoldvs Cohn Et Pavlvs Wendland	Typis Et Impensis Georgii Reimeri	MCMII
urn:cts:greekLit:tlg0018.tlg024.opp-grc1	Philonis Alexandrini Opera Qvae Svpersvnt	Leopoldvs Cohn Et Pavlvs Wendland	Leopoldvs Cohn Et Pavlvs Wendland	Typis Et Impensis Georgii Reimeri	MCMII
urn:cts:greekLit:tlg0018.tlg025.opp-grc1	Philonis Alexandrini Opera Qvae Svpersvnt	Leopoldvs Cohn Et Pavlvs Wendland	Leopoldvs Cohn Et Pavlvs Wendland	Typis Et Impensis Georgii Reimeri	MCMII
urn:cts:greekLit:tlg0018.tlg026.opp-grc1	Philonis Alexandrini Opera Qvae Svpersvnt	Leopoldvs Cohn Et Pavlvs Wendland	Leopoldvs Cohn Et Pavlvs Wendland	Typis Et Impensis Georgii Reimeri	MCMII
urn:cts:greekLit:tlg0018.tlg027.opp-grc1	Philonis Alexandrini Opera Qvae Svpersvnt	Leopoldvs Cohn Et Pavlvs Wendland	Leopoldvs Cohn Et Pavlvs Wendland	Typis Et Impensis Georgii Reimeri	MCMII
urn:cts:greekLit:tlg0018.tlg028.opp-grc1	Philonis Alexandrini Opera Qvae Svpersvnt	Leopoldvs Cohn Et Pavlvs Wendland	Leopoldvs Cohn Et Pavlvs Wendland	Typis Et Impensis Georgii Reimeri	MCMII
urn:cts:greekLit:tlg0018.tlg029.opp-grc1	Philonis Alexandrini Opera Qvae Svpersvnt	Leopoldvs Cohn Et Pavlvs Wendland	Leopoldvs Cohn Et Pavlvs Wendland	Typis Et Impensis Georgii Reimeri	MCMII
urn:cts:greekLit:tlg0018.tlg030.opp-grc1	Philonis Alexandrini Opera Qvae Svpersvnt	Leopoldvs Cohn Et Pavlvs Wendland	Leopoldvs Cohn Et Pavlvs Wendland	Typis Et Impensis Georgii Reimeri	MCMII
urn:cts:greekLit:tlg0018.tlg031.opp-grc1	Philonis Alexandrini Opera Qvae Svpersvnt	Leopoldvs Cohn Et Pavlvs Wendland	Leopoldvs Cohn Et Pavlvs Wendland	Typis Et Impensis Georgii Reimeri	MCMII
urn:cts:greekLit:tlg0057.tlg001.1st1K-grc1	Claudii Galeni Opera Omnia	Galen	None	Cnobloch	1821
urn:cts:greekLit:tlg0057.tlg001.1st1K-grc2	Claudii Galeni Protreptici Quae Supersunt	Galen	None	Weidmann	1894
urn:cts:greekLit:tlg0057.tlg002.1st1K-grc1	Claudii Galeni Opera Omnia	Galen	None	Cnobloch	1821
urn:cts:greekLit:tlg0057.tlg003.1st1K-grc1	Claudii Galeni Opera Omnia	Galen	None	Cnobloch	1821
urn:cts:greekLit:tlg0057.tlg004.1st1K-grc1	Claudii Galeni Opera Omnia	Galen	None	Cnobloch	1821
urn:cts:greekLit:tlg0057.tlg006.1st1K-grc1	Claudii Galeni Opera Omnia	Galen	None	Cnobloch	1821
urn:cts:greekLit:tlg0057.tlg007.1st1K-grc1	Claudii Galeni Opera Omnia	Galen	None	Cnobloch	1821
urn:cts:greekLit:tlg0057.tlg008.1st1K-grc1	Claudii Galeni Opera Omnia	Galen	None	Cnobloch	1821
urn:cts:greekLit:tlg0057.tlg009.1st1K-grc1	Claudii Galeni Opera Omnia	Galen	None	Cnobloch	1821
urn:cts:greekLit:tlg0057.tlg009.1st1K-grc2	Galeni De Temperamentis Libri Iii	Galen	None	B. G. Teubner	1904
urn:cts:greekLit:tlg0057.tlg010.1st1K-grc1	Claudii Galeni Opera Omnia	Galen	None	Cnobloch	1821
urn:cts:greekLit:tlg0057.tlg011.1st1K-grc1	Claudii Galeni Opera Omnia	Galen	None	Cnobloch	1821
urn:cts:greekLit:tlg0057.tlg012.1st1K-grc1	Claudii Galeni Opera Omnia	Galen	None	Cnobloch	1821
urn:cts:greekLit:tlg0057.tlg013.1st1K-grc1	Claudii Galeni Opera Omnia	Galen	None	Cnobloch	1821
urn:cts:greekLit:tlg0057.tlg014.1st1K-grc1	Claudii Galeni Opera Omnia	Galen	None	Cnobloch	1821
urn:cts:greekLit:tlg0057.tlg015.1st1K-grc1	Claudii Galeni Opera Omnia	Galen	None	Cnobloch	1821
urn:cts:greekLit:tlg0057.tlg016.1st1K-grc1	Claudii Galeni Opera Omnia	Galen	None	Cnobloch	1821
urn:cts:greekLit:tlg0057.tlg017.1st1K-grc1	Claudii Galeni Opera Omnia	Galen	None	Cnobloch	1822
urn:cts:greekLit:tlg0057.tlg018.1st1K-grc1	Claudii Galeni Opera Omnia	Galen	None	Cnobloch	1822
urn:cts:greekLit:tlg0057.tlg019.1st1K-grc1	Galeni De Victu Attenuante Liber	Galen	None	B. G. Teubner	1898
urn:cts:greekLit:tlg0057.tlg019.opp-grc1	Galeni	Carolus Kalbfleisch	Carolus Kalbfleisch	In Aedibus B.G. Teubneri	MDCCCXCVIII.
urn:cts:greekLit:tlg0057.tlg020.1st1K-grc1	Claudii Galeni Opera Omnia	Galen	None	Cnobloch	1822
urn:cts:greekLit:tlg0057.tlg021.1st1K-grc1	Claudii Galeni Opera Omnia	Galen	None	Cnobloch	1822
urn:cts:greekLit:tlg0057.tlg022.1st1K-grc1	Claudii Galeni Opera Omnia	Galen	None	Cnobloch	1822
urn:cts:greekLit:tlg0057.tlg023.1st1K-grc1	Claudii Galeni Opera Omnia	Galen	None	Cnobloch	1822
urn:cts:greekLit:tlg0057.tlg024.1st1K-grc1	Claudii Galeni Opera Omnia	Galen	None	Cnobloch	1822
urn:cts:greekLit:tlg0057.tlg025.1st1K-grc1	Claudii Galeni Opera Omnia	Galen	None	Cnobloch	1822
urn:cts:greekLit:tlg0057.tlg027.1st1K-grc1	Claudii Galeni Opera Omnia	Galen	None	Cnobloch	1822
urn:cts:greekLit:tlg0057.tlg028.1st1K-grc1	Claudii Galeni Opera Omnia	Galen	None	Cnobloch	1823
urn:cts:greekLit:tlg0057.tlg029.1st1K-grc1	Claudii Galeni Opera Omnia	Galen	None	Cnobloch	1823
urn:cts:greekLit:tlg0057.tlg030.1st1K-grc1	Claudii Galeni Opera Omnia	Galen	None	Cnobloch	1823
urn:cts:greekLit:tlg0057.tlg031.1st1K-grc1	Claudii Galeni Opera Omnia	Galen	None	Cnobloch	1823
urn:cts:greekLit:tlg0057.tlg032.1st1K-grc1	Claudii Galeni Opera Omnia	Galen	None	Cnobloch	1823
urn:cts:greekLit:tlg0057.tlg034.1st1K-grc1	Claudii Galeni Librum De Parvae Pilae Exercitio	Galen	None	Domschule	1879
urn:cts:greekLit:tlg0057.tlg034.1st1K-grc2	Claudii Galeni Opera Omnia	Galen	None	Cnobloch	1823
urn:cts:greekLit:tlg0057.tlg036.1st1K-grc1	Claudii Galeni Opera Omnia	Galen	None	Cnobloch	1823
urn:cts:greekLit:tlg0057.tlg038.1st1K-grc1	Claudii Galeni Opera Omnia	Galen	None	Cnobloch	1823
urn:cts:greekLit:tlg0057.tlg039.1st1K-grc1	Claudii Galeni Opera Omnia	Galen	None	Cnobloch	1823
urn:cts:greekLit:tlg0057.tlg040.1st1K-grc1	Claudii Galeni Opera Omnia	Galen	None	Cnobloch	1823
urn:cts:greekLit:tlg0057.tlg041.1st1K-grc1	Claudii Galeni Opera Omnia	Galen	None	Cnobloch	1823
urn:cts:greekLit:tlg0057.tlg042.1st1K-grc1	Claudii Galeni Opera Omnia	Galen	None	Cnobloch	1824
urn:cts:greekLit:tlg0057.tlg043.1st1K-grc1	Claudii Galeni Opera Omnia	Galen	None	Cnobloch	1824
urn:cts:greekLit:tlg0057.tlg044.1st1K-grc1	Claudii Galeni Opera Omnia	Galen	None	Cnobloch	1824
urn:cts:greekLit:tlg0057.tlg045.1st1K-grc1	Claudii Galeni Opera Omnia	Galen	None	Cnobloch	1824
urn:cts:greekLit:tlg0057.tlg046.1st1K-grc1	Claudii Galeni Opera Omnia	Galen	None	Cnobloch	1824
urn:cts:greekLit:tlg0057.tlg047.1st1K-grc1	Claudii Galeni Opera Omnia	Galen	None	Cnobloch	1824
urn:cts:greekLit:tlg0057.tlg048.1st1K-grc1	Claudii Galeni Opera Omnia	Galen	None	Cnobloch	1824
urn:cts:greekLit:tlg0057.tlg049.1st1K-grc1	Claudii Galeni Opera Omnia	Galen	None	Cnobloch	1824
urn:cts:greekLit:tlg0057.tlg050.1st1K-grc1	Claudii Galeni Opera Omnia	Galen	None	Cnobloch	1824
urn:cts:greekLit:tlg0057.tlg051.1st1K-grc1	Claudii Galeni Opera Omnia	Galen	None	Cnobloch	1824
urn:cts:greekLit:tlg0057.tlg052.1st1K-grc1	Claudii Galeni Opera Omnia	Galen	None	Cnobloch	1824
urn:cts:greekLit:tlg0057.tlg053.1st1K-grc1	Claudii Galeni Opera Omnia	Galen	None	Cnobloch	1824
urn:cts:greekLit:tlg0057.tlg054.1st1K-grc1	Claudii Galeni Opera Omnia	Galen	None	Cnobloch	1824
urn:cts:greekLit:tlg0057.tlg055.1st1K-grc1	Claudii Galeni Opera Omnia	Galen	None	Cnobloch	1824
urn:cts:greekLit:tlg0057.tlg056.1st1K-grc1	Claudii Galeni Opera Omnia	Galen	None	Cnobloch	1824
urn:cts:greekLit:tlg0057.tlg057.1st1K-grc1	Claudii Galeni Opera Omnia	Galen	None	Cnobloch	1824
urn:cts:greekLit:tlg0057.tlg058.1st1K-grc1	Claudii Galeni Opera Omnia	Galen	None	Cnobloch	1824
urn:cts:greekLit:tlg0057.tlg059.1st1K-grc1	Claudii Galeni Opera Omnia	Galen	None	Cnobloch	1824
urn:cts:greekLit:tlg0057.tlg060.1st1K-grc1	Claudii Galeni Opera Omnia	Galen	None	Cnobloch	1824
urn:cts:greekLit:tlg0057.tlg061.1st1K-grc1	Claudii Galeni Opera Omnia	Galen	None	Cnobloch	1825
urn:cts:greekLit:tlg0057.tlg062.1st1K-grc1	Claudii Galeni Opera Omnia	Galen	None	Cnobloch	1825
urn:cts:greekLit:tlg0057.tlg063.1st1K-grc1	Claudii Galeni Opera Omnia	Galen	None	Cnobloch	1825
urn:cts:greekLit:tlg0057.tlg064.1st1K-grc1	Claudii Galeni Opera Omnia	Galen	None	Cnobloch	1825
urn:cts:greekLit:tlg0057.tlg065.1st1K-grc1	Claudii Galeni Opera Omnia	Galen	None	Cnobloch	1825
urn:cts:greekLit:tlg0057.tlg066.1st1K-grc1	Claudii Galeni Opera Omnia	Galen	None	Cnobloch	1825
urn:cts:greekLit:tlg0057.tlg067.1st1K-grc1	Claudii Galeni Opera Omnia	Galen	None	Cnobloch	1826
urn:cts:greekLit:tlg0057.tlg068.1st1K-grc1	Claudii Galeni Opera Omnia	Galen	None	Cnobloch	1826
urn:cts:greekLit:tlg0057.tlg069.1st1K-grc1	Claudii Galeni Opera Omnia	Galen	None	Cnobloch	1826
urn:cts:greekLit:tlg0057.tlg070.1st1K-grc1	Claudii Galeni Opera Omnia	Galen	None	Cnobloch	1826
urn:cts:greekLit:tlg0057.tlg071.1st1K-grc1	Claudii Galeni Opera Omnia	Galen	None	Cnobloch	1826
urn:cts:greekLit:tlg0057.tlg072.1st1K-grc1	Claudii Galeni Opera Omnia	Galen	None	Cnobloch	1826
urn:cts:greekLit:tlg0057.tlg074.1st1K-grc1	Claudii Galeni Opera Omnia	Galen	None	Cnobloch	1826
urn:cts:greekLit:tlg0057.tlg075.1st1K-grc1	Claudii Galeni Opera Omnia	Galen	None	Cnobloch	1826
urn:cts:greekLit:tlg0057.tlg076.1st1K-grc1	Claudii Galeni Opera Omnia	Galen	None	Cnobloch	1826
urn:cts:greekLit:tlg0057.tlg077.1st1K-grc1	Claudii Galeni Opera Omnia	Galen	None	Cnobloch	1827
urn:cts:greekLit:tlg0057.tlg078.1st1K-grc1	Claudii Galeni Opera Omnia	Galen	None	Cnobloch	1827
urn:cts:greekLit:tlg0057.tlg079.1st1K-grc1	Claudii Galeni Opera Omnia	Galen	None	Cnobloch	1827
urn:cts:greekLit:tlg0057.tlg081.1st1K-grc1	Galeni Institutio Logica	Galen	None	B. G. Teubner	1896
urn:cts:greekLit:tlg0057.tlg082.1st1K-grc1	Claudii Galeni Opera Omnia	Galen	None	Cnobloch	1827
urn:cts:greekLit:tlg0057.tlg083.1st1K-grc1	Claudii Galeni Opera Omnia	Galen	None	Cnobloch	1827
urn:cts:greekLit:tlg0057.tlg084.1st1K-grc1	Claudii Galeni Opera Omnia	Galen	None	Cnobloch	1822
urn:cts:greekLit:tlg0057.tlg085.1st1K-grc1	Claudii Galeni Opera Omnia	Galen	None	Cnobloch	1828
urn:cts:greekLit:tlg0057.tlg087.1st1K-grc1	Claudii Galeni Opera Omnia	Galen	None	Cnobloch	1828
urn:cts:greekLit:tlg0057.tlg089.1st1K-grc1	Claudii Galeni Opera Omnia	Galen	None	Cnobloch	1828
urn:cts:greekLit:tlg0057.tlg092.1st1K-grc1	Claudii Galeni Opera Omnia	Galen	None	Cnobloch	1829
urn:cts:greekLit:tlg0057.tlg093.1st1K-grc1	Claudii Galeni Opera Omnia	Galen	None	Cnobloch	1829
urn:cts:greekLit:tlg0057.tlg094.1st1K-grc1	Claudii Galeni Opera Omnia	Galen	None	Cnobloch	1829
urn:cts:greekLit:tlg0057.tlg095.1st1K-grc1	Claudii Galeni Opera Omnia	Galen	None	Cnobloch	1829
urn:cts:greekLit:tlg0057.tlg099.1st1K-grc1	Claudii Galeni Opera Omnia	Galen	None	Cnobloch	1830
urn:cts:greekLit:tlg0057.tlg100.1st1K-grc1	Claudii Galeni Opera Omnia	Galen	None	Cnobloch	1830
urn:cts:greekLit:tlg0057.tlg101.1st1K-grc1	Claudii Galeni Opera Omnia	Galen	None	Cnobloch	1830
urn:cts:greekLit:tlg0057.tlg102.1st1K-grc1	Claudii Galeni Opera Omnia	Galen	None	Cnobloch	1830
urn:cts:greekLit:tlg0057.tlg103.1st1K-grc1	Galeni Libellus De Consuetudinibus	Galen	None	Universität Erlangen	1879
urn:cts:greekLit:tlg0057.tlg107.1st1K-grc1	Eine Streitschrift Galen'S Gegen Die Empirischen Ärzte	Galen	None	None	1901
urn:cts:greekLit:tlg0057.tlg114.1st1K-grc1	Claudii Galeni Opera Omnia	Galen	None	Cnobloch	1822
urn:cts:greekLit:tlg0085.tlg001.opp-grc3	Aeschyli Tragoediae : Cum Fabularum Deperditarum Fragmentis,         Poetae Vita Et Operum Catalogo / Recensuit Arturus Sidgwick.	Aeschylus	None	Clarendon Press	1902
urn:cts:greekLit:tlg0085.tlg002.opp-grc3	Aeschyli Tragoediae : Cum Fabularum Deperditarum Fragmentis,                     Poetae Vita Et Operum Catalogo / Recensuit Arturus Sidgwick.	Aeschylus	None	Clarendon Press	1902
urn:cts:greekLit:tlg0085.tlg003.opp-grc3	Aeschyli Tragoediae : Cum Fabularum Deperditarum Fragmentis,                     Poetae Vita Et Operum Catalogo / Recensuit Arturus Sidgwick.	Aeschylus	None	Clarendon Press	1902
urn:cts:greekLit:tlg0085.tlg004.opp-grc3	Aeschyli Tragoediae : Cum Fabularum Deperditarum Fragmentis,                     Poetae Vita Et Operum Catalogo / Recensuit Arturus Sidgwick.	Aeschylus	None	Clarendon Press	1902
urn:cts:greekLit:tlg0085.tlg005.opp-grc3	Aeschyli Tragoediae : Cum Fabularum Deperditarum Fragmentis,                     Poetae Vita Et Operum Catalogo / Recensuit Arturus Sidgwick.	Aeschylus	None	Clarendon Press	1902
urn:cts:greekLit:tlg0085.tlg006.opp-grc3	Aeschyli Tragoediae : Cum Fabularum Deperditarum Fragmentis,                     Poetae Vita Et Operum Catalogo / Recensuit Arturus Sidgwick.	Aeschylus	None	Clarendon Press	1902
urn:cts:greekLit:tlg0085.tlg007.opp-grc3	Aeschyli Tragoediae : Cum Fabularum Deperditarum Fragmentis,                     Poetae Vita Et Operum Catalogo / Recensuit Arturus Sidgwick.	Aeschylus	None	Clarendon Press	1902
urn:cts:greekLit:tlg0086.tlg001.1st1K-grc1	Aristotelis Opera	Aristotle	None	Oxford University Press	1837
urn:cts:greekLit:tlg0086.tlg002.1st1K-grc1	Aristotelis Opera	Aristotle	None	Oxford University Press	1837
urn:cts:greekLit:tlg0086.tlg006.1st1K-grc1	Aristotelis Opera	Aristotle	None	Oxford University Press	1837
urn:cts:greekLit:tlg0086.tlg008.1st1K-grc1	Aristotelis Opera	Aristotle	None	Oxford University Press	1837
urn:cts:greekLit:tlg0086.tlg014.1st1K-grc1	Aristotelis Opera	Aristotle	None	Oxford University Press	1837
urn:cts:greekLit:tlg0086.tlg016.1st1K-grc1	Aristotelis Opera	Aristotle	None	Oxford University Press	1837
urn:cts:greekLit:tlg0086.tlg017.1st1K-grc1	Aristotelis Opera	Aristotle	None	Oxford University Press	1837
urn:cts:greekLit:tlg0086.tlg018.1st1K-grc1	Aristotelis Opera	Aristotle	None	Oxford University Press	1837
urn:cts:greekLit:tlg0086.tlg020.1st1K-grc1	Aristotelis Opera	Aristotle	None	Oxford University Press	1837
urn:cts:greekLit:tlg0086.tlg024.1st1K-grc1	Aristotelis Opera	Aristotle	None	Oxford University Press	1837
urn:cts:greekLit:tlg0086.tlg026.1st1K-grc1	Aristotelis Opera	Aristotle	None	Oxford University Press	1837
urn:cts:greekLit:tlg0086.tlg034.1st1K-grc1	Aristotelis Opera	Aristotle	None	Oxford University Press	1837
urn:cts:greekLit:tlg0086.tlg037.1st1K-grc1	Aristotelis Opera	Aristotle	None	Oxford University Press	1837
urn:cts:greekLit:tlg0086.tlg040.1st1K-grc1	Aristotelis Opera	Aristotle	None	Oxford University Press	1837
urn:cts:greekLit:tlg0086.tlg041.1st1K-grc1	Aristotelis Opera	Aristotle	None	Oxford University Press	1837
urn:cts:greekLit:tlg0086.tlg042.1st1K-grc1	Aristotelis Opera	Aristotle	None	Oxford University Press	1837
urn:cts:greekLit:tlg0086.tlg044.1st1K-grc1	Aristotelis Opera	Aristotle	None	Oxford University Press	1837
urn:cts:greekLit:tlg0363.tlg007.opp-grc2	Clavdii Ptolemaei	F. Boll† Et Æ. Boer	F. Boll† Et Æ. Boer	In Aedibvs B.G. Tevbneri	MCMLIV
urn:cts:greekLit:tlg0527.tlg001.opp-grc2	The Old Testament In Greek	None	Henry Barclay Swete	University Press	1901
urn:cts:greekLit:tlg0527.tlg002.opp-grc2	The Old Testament In Greek	None	Henry Barclay Swete	University Press	1901
urn:cts:greekLit:tlg0527.tlg003.opp-grc2	The Old Testament In Greek	None	Henry Barclay Swete	University Press	1901
urn:cts:greekLit:tlg0527.tlg004.opp-grc2	The Old Testament In Greek	None	Henry Barclay Swete	University Press	1901
urn:cts:greekLit:tlg0527.tlg005.opp-grc2	The Old Testament In Greek	None	Henry Barclay Swete	University Press	1901
urn:cts:greekLit:tlg0527.tlg006.opp-grc2	The Old Testament In Greek	None	Henry Barclay Swete	University Press	1901
urn:cts:greekLit:tlg0527.tlg008.opp-grc2	The Old Testament In Greek	None	Henry Barclay Swete	University Press	1901
urn:cts:greekLit:tlg0527.tlg010.opp-grc2	The Old Testament In Greek	None	Henry Barclay Swete	University Press	1901
urn:cts:greekLit:tlg0527.tlg011.opp-grc2	The Old Testament In Greek	None	Henry Barclay Swete	University Press	1901
urn:cts:greekLit:tlg0527.tlg012.opp-grc2	The Old Testament In Greek	None	Henry Barclay Swete	University Press	1901
urn:cts:greekLit:tlg0527.tlg013.opp-grc2	The Old Testament In Greek	None	Henry Barclay Swete	University Press	1901
urn:cts:greekLit:tlg0527.tlg014.opp-grc2	The Old Testament In Greek	None	Henry Barclay Swete	University Press	1901
urn:cts:greekLit:tlg0527.tlg030.opp-grc2	Ecclesiasticus	J. H. A. Hart, M.A.	J. H. A. Hart, M.A.	Cambridge	1909
urn:cts:greekLit:tlg0527.tlg048.opp-eng2	The Book Of Isaiah	R. R. Ottley, M.A.	R. R. Ottley, M.A.	C. J. Clay And Sons Cambridge University Press Warehouse Ave Maria Lane	1904
urn:cts:greekLit:tlg0527.tlg048.opp-grc2	The Book Of Isaiah	R. R. Ottley, M.A.	R. R. Ottley, M.A.	C. J. Clay And Sons Cambridge University Press Warehouse Ave Maria Lane	1904
urn:cts:greekLit:tlg0530.tlg005.1st1K-grc1	Claudii Galeni Opera Omnia	Galen	None	Cnobloch	1829
urn:cts:greekLit:tlg0530.tlg006.1st1K-grc1	Die Neuplatonische, Fälschlich Dem Galen Zugeschriebene Schrift Πρὸς Γαῦρον Περὶ Τοῦ Πῶς Ἐμψυχοῦνται Τὰ Ἔμβρυα	Galen	None	None	1895
urn:cts:greekLit:tlg0530.tlg012.1st1K-grc1	Claudii Galeni Opera Omnia	Galen	None	Cnobloch	1827
urn:cts:greekLit:tlg0530.tlg029.1st1K-grc1	Claudii Galeni Opera Omnia	Galen	None	Cnobloch	1827
urn:cts:greekLit:tlg0530.tlg032.1st1K-grc1	Claudii Galeni Opera Omnia	Galen	None	Cnobloch	1827
urn:cts:greekLit:tlg0530.tlg035.1st1K-grc1	Claudii Galeni Opera Omnia	Galen	None	Cnobloch	1823
urn:cts:greekLit:tlg0530.tlg043.1st1K-grc1	Claudii Galeni Opera Omnia	Pseudo-Galen	None	Cnobloch	1821
urn:cts:greekLit:tlg0530.tlg073.1st1K-grc1	Claudii Galeni Opera Omnia	Galen	None	Cnobloch	1826
urn:cts:greekLit:tlg0541.tlg042.1st1K-grc1	Die Arabische Überlieferung Der Sogenannten Menandersentenzen	Pseudo-Menander	None	Kommissionsverlag Franz Steiner	1961
urn:cts:greekLit:tlg0541.tlg042.1st1K-grc2	Die Arabische Überlieferung Der Sogenannten Menandersentenzen	Pseudo-Menander	None	Kommissionsverlag Franz Steiner	1961
urn:cts:greekLit:tlg0544.tlg001.opp-grc1	Sexti Empirici Opera	Hermannus Mutschmann	Hermannus Mutschmann	In Aedibus B. G. Teubneri	MCMXII
urn:cts:greekLit:tlg0544.tlg001.opp-lat1	Sexti Empirici Opera	Hermannus Mutschmann	Hermannus Mutschmann	In Aedibus B. G. Teubneri	MCMXII
urn:cts:greekLit:tlg0544.tlg002.opp-grc1	Sexti Empirici Opera	Hermannus Mutschmann	Hermannus Mutschmann	In Aedibus B. G. Teubneri	MCMXII
urn:cts:greekLit:tlg0555.tlg001.opp-grc1	Protrepticus Und Paedagogus	Clement Of Alexandria	None	Hinrichs	1905
urn:cts:greekLit:tlg0555.tlg002.opp-grc1	Protrepticus Und Paedagogus	Clement Of Alexandria	None	Hinrichs	1905
urn:cts:greekLit:tlg0555.tlg004b.opp-grc1	Clemens Alexandrinus Dritter Band	Clement Of Alexandria	None	Hinrichs	1909
urn:cts:greekLit:tlg0555.tlg005.opp-grc1	Clemens Alexandrinus Dritter Band	Clement Of Alexandria	None	Hinrichs	1909
urn:cts:greekLit:tlg0555.tlg006.opp-grc1	Clemens Alexandrinus Dritter Band	Clement Of Alexandria	None	Hinrichs	1909
urn:cts:greekLit:tlg0555.tlg007.opp-grc1	Clemens Alexandrinus Dritter Band	Clement Of Alexandria	None	Hinrichs	1909
urn:cts:greekLit:tlg0610.tlg001.opp-grc1	Orationes Et Fragmenta, Adivnctis Gorgiae, Antisthenis, Alcidamantis,        Declamationibvs	Alcidamantis	None	Tevbneri	1892
urn:cts:greekLit:tlg0615.tlg001.opp-grc1	In Ethica Nicomachea Quae Supersunt Commentaria	Aspasius	Gustavus Heylbut	Berolini: Typis Et Impensis G. Reimeri	1889
urn:cts:greekLit:tlg0627.tlg001.1st1K-grc1	Oeuvres Complètes D'Hippocrate	Hippocrates	None	Baillière	1839
urn:cts:greekLit:tlg0627.tlg002.1st1K-grc1	Oeuvres Complètes D'Hippocrate	Hippocrates	None	Baillière	1840
urn:cts:greekLit:tlg0627.tlg003.1st1K-grc1	Oeuvres Complètes D'Hippocrate	Hippocrates	None	Baillière	1840
urn:cts:greekLit:tlg0627.tlg004.1st1K-grc1	Oeuvres Complètes D'Hippocrate	Hippocrates	None	Baillière	1840
urn:cts:greekLit:tlg0627.tlg005.1st1K-grc1	Oeuvres Complètes D'Hippocrate	Hippocrates	None	Baillière	1840
urn:cts:greekLit:tlg0627.tlg006.1st1K-grc1	Oeuvres Complètes D'Hippocrate	Hippocrates	None	Baillière	1840
urn:cts:greekLit:tlg0627.tlg007.1st1K-grc1	Oeuvres Complètes D'Hippocrate	Hippocrates	None	Baillière	1841
urn:cts:greekLit:tlg0627.tlg008.1st1K-grc1	Oeuvres Complètes D'Hippocrate	Hippocrates	None	Baillière	1841
urn:cts:greekLit:tlg0627.tlg009.1st1K-grc1	Oeuvres Complètes D'Hippocrate	Hippocrates	None	Baillière	1841
urn:cts:greekLit:tlg0627.tlg010.1st1K-grc1	Oeuvres Complètes D'Hippocrate	Hippocrates	None	Baillière	1844
urn:cts:greekLit:tlg0627.tlg011.1st1K-grc1	Oeuvres Complètes D'Hippocrate	Hippocrates	None	Baillière	1844
urn:cts:greekLit:tlg0627.tlg012.1st1K-grc1	Oeuvres Complètes D'Hippocrate	Hippocrates	None	Baillière	1844
urn:cts:greekLit:tlg0627.tlg013.1st1K-grc1	Oeuvres Complètes D'Hippocrate	Hippocrates	None	Baillière	1844
urn:cts:greekLit:tlg0627.tlg014.1st1K-grc1	Oeuvres Complètes D'Hippocrate	Hippocrates	None	Baillière	1844
urn:cts:greekLit:tlg0627.tlg015.1st1K-grc1	Oeuvres Complètes D'Hippocrate	Hippocrates	None	Baillière	1846
urn:cts:greekLit:tlg0627.tlg016.1st1K-grc1	Oeuvres Complètes D'Hippocrate	Hippocrates	None	Baillière	1846
urn:cts:greekLit:tlg0627.tlg017.1st1K-grc1	Oeuvres Complètes D'Hippocrate	Hippocrates	None	Baillière	1846
urn:cts:greekLit:tlg0627.tlg018.1st1K-grc1	Oeuvres Complètes D'Hippocrate	Hippocrates	None	Baillière	1849
urn:cts:greekLit:tlg0627.tlg019.1st1K-grc1	Oeuvres Complètes D'Hippocrate	Hippocrates	None	Baillière	1849
urn:cts:greekLit:tlg0627.tlg020.1st1K-grc1	Oeuvres Complètes D'Hippocrate	Hippocrates	None	Baillière	1849
