URN	Title	Author	Editor	Publisher	Publication Year
urn:cts:greekLit:tlg2313.perseus001.perseus-grc1	Αιας	Αντισθενους	None	Teubner	1881
urn:cts:greekLit:tlg2313.perseus002.perseus-grc1	Οδυσσευς	Αντισθενους	None	Teubner	1881
urn:cts:greekLit:tlg2371.tlg001.opp-grc1	Corpus Scriptorum Historiae Byzantinae.	B. G. Niebuhrii C. F.	B. G. Niebuhrii C. F.	Impensis Ed. Weberi	MDCCCXXXII.
urn:cts:greekLit:tlg2703.tlg001.opp-grc1	Annae Comnenae	Augustus Reifferscheidii	Augustus Reifferscheidii	In Aedibus B. G. Teubneri	MDCCCLXXXIV
urn:cts:greekLit:tlg2703.tlg001.opp-grclat1	Corpus Scriptorum Historiae Byzantinae.	Ludovicus Schopenus.	Ludovicus Schopenus; B. G. Niebuhrii C.F.	Impensis Ed. Weberi	1839
urn:cts:greekLit:tlg2768.tlg001.opp-grc1	Gelasius Kirchengeschichte	Dr. Margret Heinemann	Dr. Margret Heinemann	J. C. Hinrichs'Sche Buchhandlung	1918
urn:cts:greekLit:tlg2768.tlg002.opp-grc1	Gelasius Kirchengeschichte	Gelasius	Prof. Lic. Gerhard Loeschcke; Dr. Margret Heinemann	J. C. Hinrichs'Sche Buchhandlung	1918
urn:cts:greekLit:tlg2768.tlg002.opp-lat1	Gelasius Kirchengeschichte	Gelasius	Prof. Lic. Gerhard Loeschcke; Dr. Margret Heinemann	J. C. Hinrichs'Sche Buchhandlung	1918
urn:cts:greekLit:tlg2959.tlg001.opp-grc1	Methodius	D.G. Nathanael Bonwetsch	D.G. Nathanael Bonwetsch	J. C. Hinrichs'Sche Buchhandlung	1917
urn:cts:greekLit:tlg2959.tlg002.opp-ger1	Methodius	D.G. Nathanael Bonwetsch	D.G. Nathanael Bonwetsch	J. C. Hinrichs'Sche Buchhandlung	1917
urn:cts:greekLit:tlg2959.tlg002.opp-grc1	Methodius	D.G. Nathanael Bonwetsch	D.G. Nathanael Bonwetsch	J. C. Hinrichs'Sche Buchhandlung	1917
urn:cts:greekLit:tlg2959.tlg003.opp-ger1	Methodius	D.G. Nathanael Bonwetsch	D.G. Nathanael Bonwetsch	J. C. Hinrichs'Sche Buchhandlung	1917
urn:cts:greekLit:tlg2959.tlg004.opp-ger1	Methodius	D.G. Nathanael Bonwetsch	D.G. Nathanael Bonwetsch	J. C. Hinrichs'Sche Buchhandlung	1917
urn:cts:greekLit:tlg2959.tlg005.opp-grc1	Methodius	D.G. Nathanael Bonwetsch	D.G. Nathanael Bonwetsch	J. C. Hinrichs'Sche Buchhandlung	1917
urn:cts:greekLit:tlg2959.tlg006.opp-grc1	Methodius	D.G. Nathanael Bonwetsch	D.G. Nathanael Bonwetsch	J. C. Hinrichs'Sche Buchhandlung	1917
urn:cts:greekLit:tlg2959.tlg007.opp-grc1	Methodius	D.G. Nathanael Bonwetsch	D.G. Nathanael Bonwetsch	J. C. Hinrichs'Sche Buchhandlung	1917
urn:cts:greekLit:tlg2959.tlg008.opp-grc1	Methodius	D.G. Nathanael Bonwetsch	D.G. Nathanael Bonwetsch	J. C. Hinrichs'Sche Buchhandlung	1917
urn:cts:greekLit:tlg2959.tlg010.opp-grc1	Methodius	D.G. Nathanael Bonwetsch	D.G. Nathanael Bonwetsch	J. C. Hinrichs'Sche Buchhandlung	1917
urn:cts:greekLit:tlg2959.tlg011.opp-ger1	Methodius	D.G. Nathanael Bonwetsch	D.G. Nathanael Bonwetsch	J. C. Hinrichs'Sche Buchhandlung	1917
urn:cts:greekLit:tlg2959.tlg012.opp-ger1	Methodius	D.G. Nathanael Bonwetsch	D.G. Nathanael Bonwetsch	J. C. Hinrichs'Sche Buchhandlung	1917
urn:cts:greekLit:tlg3135.tlg001.opp-grc1	Ioannis Zonarae Epitome Historiarum	Ludovicus Dindorfius.	Ludovicus Dindorfius.	In Aedibus Β. G. Teubneri.	1868
urn:cts:greekLit:tlg3135.tlg004.opp-grc1	Ioannis Zonarae Epitome Historiarum	Ludovicus Dindorfius.	Ludovicus Dindorfius.	In Aedibus B. G. Teubneri.	MDCCCLXXI.
urn:cts:greekLit:tlg3135.tlg005.opp-grc1	Ioannis Zonarae Epitome Historiarum	Ludovicus Dindorfius.	Ludovicus Dindorfius.	In Aedibus B. G. Teubneri.	MDCCCLXXI.
urn:cts:greekLit:tlg4013.tlg001.opp-grc1	Commentaria In Aristotelem Graeca	I.L. Heiberg	I.L. Heiberg	Typis Et Impensis Georgii Reimeri	MDCCCLXXXXIII.
urn:cts:greekLit:tlg4013.tlg003.opp-grc1	Comentaria In Aristotelem Graeca	Carolus Kalbfleisch	Carolus Kalbfleisch	Typis Et Impensis Georgii Reimeri	MCMVII
